"  freq              ;  reS11        ; imS11         ";;;mag S11;mag S11 dB
61000000;-0.47778;-0.847044;0.972500523;-0.242203133
61001875;-0.479052;-0.841923;0.968671852;-0.2764664
61003750;-0.480443;-0.842117;0.969529019;-0.268783754
61005625;-0.483522;-0.841657;0.970659585;-0.25866105
61007500;-0.482579;-0.838368;0.967338304;-0.288432299
61009375;-0.485649;-0.839424;0.969787401;-0.266469247
61011250;-0.482978;-0.839474;0.968495919;-0.278044099
61013125;-0.4854;-0.837611;0.968093667;-0.281652422
61015000;-0.487547;-0.83793;0.969447658;-0.269512682
61016875;-0.487013;-0.837443;0.968758195;-0.275692213
61018750;-0.485569;-0.835138;0.966039716;-0.300100369
61020625;-0.487059;-0.834524;0.966259166;-0.298127465
61022500;-0.488355;-0.833733;0.96623047;-0.298385423
61024375;-0.488216;-0.83289;0.965432864;-0.305558432
61026250;-0.491471;-0.835849;0.969632557;-0.26785622
61028125;-0.489668;-0.836574;0.969345556;-0.270427524
61030000;-0.493532;-0.83501;0.96995646;-0.2649552
61031875;-0.494395;-0.832321;0.968082984;-0.281748272
61033750;-0.494488;-0.833211;0.968895739;-0.274459082
61035625;-0.495964;-0.831524;0.968200626;-0.280692819
61037500;-0.495056;-0.833617;0.969534809;-0.268731879
61039375;-0.496755;-0.831007;0.968162261;-0.281037002
61041250;-0.497872;-0.828836;0.966874161;-0.292600916
61043125;-0.500342;-0.828789;0.968108116;-0.281522784
61045000;-0.500256;-0.828299;0.967644201;-0.285686038
61046875;-0.501006;-0.828975;0.968610635;-0.277015335
61048750;-0.503128;-0.828659;0.969439798;-0.269583103
61050625;-0.501191;-0.825705;0.965909502;-0.301271235
61052500;-0.504228;-0.82832;0.969721557;-0.267058996
61054375;-0.503995;-0.825838;0.967480936;-0.287151675
61056250;-0.503504;-0.826832;0.968074085;-0.281828112
61058125;-0.50616;-0.823552;0.966662217;-0.294505116
61060000;-0.505996;-0.825703;0.968409725;-0.278817155
61061875;-0.509496;-0.820989;0.966234502;-0.298349182
61063750;-0.509017;-0.824599;0.96905202;-0.273058178
61065625;-0.51258;-0.821863;0.968605723;-0.277059383
61067500;-0.51177;-0.821885;0.968195996;-0.280734357
61069375;-0.509165;-0.821732;0.966691511;-0.294241905
61071250;-0.510948;-0.819434;0.965681075;-0.30332559
61073125;-0.512761;-0.821315;0.96823663;-0.280369823
61075000;-0.513583;-0.819673;0.967280375;-0.288952465
61076875;-0.514327;-0.820446;0.968330471;-0.279528031
61078750;-0.515962;-0.817227;0.966476464;-0.296174354
61080625;-0.514853;-0.81813;0.96664901;-0.29462379
61082500;-0.516703;-0.817696;0.9672687;-0.289057305
61084375;-0.518867;-0.816638;0.967533248;-0.286682038
61086250;-0.517637;-0.81736;0.967484074;-0.287123506
61088125;-0.519813;-0.818319;0.969459406;-0.269407423
61090000;-0.520699;-0.817955;0.969627676;-0.267899937
61091875;-0.521116;-0.816273;0.968433527;-0.278603676
61093750;-0.524136;-0.813212;0.967487624;-0.287091631
61095625;-0.522712;-0.814759;0.968018627;-0.282325711
61097500;-0.526382;-0.814241;0.969570222;-0.268414623
61099375;-0.521769;-0.813405;0.966369796;-0.297133045
61101250;-0.522282;-0.80781;0.961943597;-0.337007837
61103125;-0.524495;-0.813147;0.967627536;-0.285835625
61105000;-0.525957;-0.811073;0.966679977;-0.294345542
61106875;-0.528022;-0.8099;0.966822239;-0.293067366
61108750;-0.529137;-0.810307;0.96777239;-0.284535444
61110625;-0.530649;-0.808842;0.967374665;-0.288105816
61112500;-0.529418;-0.80952;0.96726731;-0.289069789
61114375;-0.531459;-0.807573;0.966758925;-0.293636198
61116250;-0.534076;-0.807397;0.968053247;-0.282015079
61118125;-0.531972;-0.806595;0.966224458;-0.298439471
61120000;-0.533588;-0.808299;0.968536745;-0.277677958
61121875;-0.53266;-0.804723;0.965041855;-0.309077006
61123750;-0.535169;-0.808145;0.969280248;-0.271012743
61125625;-0.536923;-0.804576;0.967279095;-0.288963963
61127500;-0.537217;-0.803345;0.966418799;-0.296692617
61129375;-0.537401;-0.804405;0.967402315;-0.287857555
61131250;-0.540382;-0.802963;0.967864807;-0.283706026
61133125;-0.537758;-0.801027;0.964794238;-0.31130598
61135000;-0.541309;-0.800646;0.966462338;-0.296301306
61136875;-0.541054;-0.803698;0.968849785;-0.274871054
61138750;-0.541051;-0.800099;0.965864687;-0.301674234
61140625;-0.543562;-0.801279;0.968249804;-0.280251642
61142500;-0.543804;-0.799498;0.966912531;-0.292256228
61144375;-0.546086;-0.799585;0.968269638;-0.280073723
61146250;-0.547296;-0.797091;0.966895534;-0.292408914
