 %%% Date (yyyymmdd): 20140629
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1401783E+01  0.3534278E+02
     1      2 -0.3561054E+00  0.3375715E+00
     1      3 -0.2053355E+00  0.3945278E+00
     1      4 -0.1474253E-02  0.5817210E-01
     2      1 -0.4435455E+00  0.4514643E+00
     2      2  0.1424162E+01  0.3556110E+02
     2      3 -0.7217489E-01  0.1385350E+00
     2      4 -0.2068475E+00  0.4003421E+00
     3      1 -0.1114063E+00  0.1360399E+00
     3      2 -0.9182592E-01  0.8186149E-01
     3      3  0.1384963E+01  0.3556501E+02
     3      4 -0.3396739E+00  0.3259858E+00
     4      1 -0.8746189E-01  0.1031334E+00
     4      2 -0.1113258E+00  0.1369494E+00
     4      3 -0.4227802E+00  0.4374738E+00
     4      4  0.1377665E+01  0.3542919E+02
