 %%% Date (yyyymmdd): 20130211
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.3375921E+00  0.2998274E+02
     1      2 -0.1152652E+00  0.1446890E+00
     1      3 -0.7298495E-01  0.1128454E+00
     1      4  0.2613123E-01 -0.5744306E-01
     2      1 -0.1417382E+00  0.1618923E+00
     2      2  0.3215723E+00  0.2980838E+02
     2      3 -0.2355307E-02 -0.1129654E-01
     2      4 -0.7267039E-01  0.1124384E+00
     3      1 -0.2441751E-01  0.3327470E-01
     3      2 -0.7190183E-03 -0.1035358E-02
     3      3  0.3198432E+00  0.2987364E+02
     3      4 -0.1138255E+00  0.1435850E+00
     4      1  0.9868368E-02 -0.9250875E-02
     4      2 -0.2421505E-01  0.3330948E-01
     4      3 -0.1404808E+00  0.1603513E+00
     4      4  0.3311688E+00  0.2998906E+02
