 %%% Date (yyyymmdd): 20130519
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.9255829E+00  0.2678877E+02
     1      2 -0.9198609E-01  0.7391697E-01
     1      3 -0.1755820E+00  0.2852758E+00
     1      4  0.9899129E-02  0.4893049E-01
     2      1 -0.2157313E+00  0.9436271E-01
     2      2  0.9141800E+00  0.2676316E+02
     2      3 -0.5543064E-01  0.9553285E-01
     2      4 -0.1747426E+00  0.2850550E+00
     3      1 -0.4114828E-01  0.5211505E-01
     3      2 -0.4375946E-01  0.2879763E-01
     3      3  0.8988516E+00  0.2674137E+02
     3      4 -0.9372356E-01  0.7819843E-01
     4      1 -0.5986200E-01  0.3501665E-01
     4      2 -0.4137159E-01  0.5220164E-01
     4      3 -0.2154364E+00  0.9932405E-01
     4      4  0.9098425E+00  0.2675685E+02
