 %%% Date (yyyymmdd): 20140531
 %%% Feeding        : coaxial cable
 %%% Frequency      :    50000000.0000000     
     1      1  0.9666148E+00  0.3131237E+02
     1      2 -0.9007071E-01  0.3752893E-01
     1      3 -0.1976203E+00  0.3140619E+00
     1      4  0.3585651E-02  0.4049835E-01
     2      1 -0.2100489E+00  0.5756400E-01
     2      2  0.9742265E+00  0.3150792E+02
     2      3 -0.6027186E-01  0.9370506E-01
     2      4 -0.1992980E+00  0.3183873E+00
     3      1 -0.4286772E-01  0.5616577E-01
     3      2 -0.4659541E-01  0.2568795E-01
     3      3  0.9528427E+00  0.3149426E+02
     3      4 -0.8227648E-01  0.3749801E-01
     4      1 -0.6081069E-01  0.2863209E-01
     4      2 -0.4257333E-01  0.5664215E-01
     4      3 -0.1997766E+00  0.5714079E-01
     4      4  0.9545893E+00  0.3137253E+02
