 %%% Date (yyyymmdd): 20140605
 %%% Feeding        : coaxial cable
 %%% Frequency      :    52500000.0000000     
     1      1  0.1483095E+01  0.3334117E+02
     1      2 -0.3830440E+00 -0.7544318E-01
     1      3 -0.2183747E+00  0.3807689E+00
     1      4 -0.9767922E-03  0.3765838E-01
     2      1 -0.5620939E+00  0.7747048E-01
     2      2  0.1510832E+01  0.3355162E+02
     2      3 -0.7975440E-01  0.1142843E+00
     2      4 -0.2199587E+00  0.3840071E+00
     3      1 -0.1291713E+00  0.4823186E-01
     3      2 -0.1138549E+00  0.2962988E-01
     3      3  0.1472478E+01  0.3353802E+02
     3      4 -0.3661302E+00 -0.7300693E-01
     4      1 -0.1454428E+00  0.7023267E-01
     4      2 -0.1295074E+00  0.4915150E-01
     4      3 -0.5391858E+00  0.7567233E-01
     4      4  0.1459813E+01  0.3340608E+02
