 %%% Date (yyyymmdd): 20140518
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1112743E+01  0.2940476E+02
     1      2 -0.2328041E+00 -0.2837026E-01
     1      3 -0.1819859E+00  0.3076346E+00
     1      4  0.1150347E-02  0.3203093E-01
     2      1 -0.3713883E+00  0.5537080E-01
     2      2  0.1129862E+01  0.2958598E+02
     2      3 -0.6180298E-01  0.9020752E-01
     2      4 -0.1828215E+00  0.3101095E+00
     3      1 -0.8187217E-01  0.4255645E-01
     3      2 -0.7358629E-01  0.2383832E-01
     3      3  0.1102217E+01  0.2957500E+02
     3      4 -0.2215085E+00 -0.2687490E-01
     4      1 -0.9370391E-01  0.4457491E-01
     4      2 -0.8215627E-01  0.4310946E-01
     4      3 -0.3557380E+00  0.5425410E-01
     4      4  0.1096250E+01  0.2945955E+02
