 %%% Date (yyyymmdd): 20140629
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.3397595E+00  0.3653015E+02
     1      2 -0.3248573E-01  0.4173897E+00
     1      3 -0.1136443E+00  0.2855761E+00
     1      4 -0.1266495E-01  0.1307268E-01
     2      1 -0.4633484E-01  0.4275011E+00
     2      2  0.3461689E+00  0.3675050E+02
     2      3 -0.4387451E-01  0.8920323E-01
     2      4 -0.1145246E+00  0.2886260E+00
     3      1 -0.6921694E-01  0.1994119E+00
     3      2 -0.4654081E-01  0.7894887E-01
     3      3  0.3390480E+00  0.3673056E+02
     3      4 -0.2942279E-01  0.4155164E+00
     4      1 -0.3163259E-01  0.3523825E-01
     4      2 -0.6960948E-01  0.2015563E+00
     4      3 -0.4284636E-01  0.4251327E+00
     4      4  0.3363019E+00  0.3660325E+02
