 %%% Date (yyyymmdd): 20140702
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1491427E+01  0.3505033E+02
     1      2 -0.3928821E+00  0.4172622E+00
     1      3 -0.1916691E+00  0.4008435E+00
     1      4  0.2525354E-02  0.6217590E-01
     2      1 -0.4625343E+00  0.5470978E+00
     2      2  0.1514689E+01  0.3526268E+02
     2      3 -0.6599175E-01  0.1448164E+00
     2      4 -0.1932694E+00  0.4043073E+00
     3      1 -0.1225958E+00  0.1560904E+00
     3      2 -0.9582585E-01  0.1021895E+00
     3      3  0.1471478E+01  0.3527679E+02
     3      4 -0.3753830E+00  0.4027943E+00
     4      1 -0.8345319E-01  0.1230520E+00
     4      2 -0.1223352E+00  0.1575212E+00
     4      3 -0.4427928E+00  0.5274883E+00
     4      4  0.1462483E+01  0.3514165E+02
