 %%% Date (yyyymmdd): 20130216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.6468897E-01 -0.8846646E+01
     1      2  0.1629018E-02  0.6179259E-02
     1      3  0.3091841E-01 -0.2766511E+02
     1      4  0.1544753E-01  0.6110229E-03
     1      5 -0.8950971E-01 -0.3227614E+02
     1      6 -0.1282302E-01 -0.6772552E-02
     2      1 -0.8594391E-02  0.5539683E-02
     2      2  0.7006857E-01 -0.8834104E+01
     2      3  0.6639687E-02  0.5554414E-02
     2      4  0.4651629E-01 -0.2760579E+02
     2      5  0.2610796E-02 -0.9645913E-02
     2      6 -0.1060697E+00 -0.3234990E+02
     3      1  0.1154541E+00 -0.2776650E+02
     3      2 -0.1929689E-01  0.5296048E-02
     3      3  0.4664964E+00 -0.7524052E+01
     3      4 -0.8020142E-02  0.2428130E-01
     3      5 -0.5307886E+00 -0.3956354E+02
     3      6  0.2556554E-01 -0.2603438E-01
     4      1 -0.7989811E-02 -0.9263853E-02
     4      2  0.1321311E+00 -0.2770827E+02
     4      3 -0.1796747E-01  0.1078900E-02
     4      4  0.4712851E+00 -0.7539578E+01
     4      5  0.2569765E-01  0.8485055E-02
     4      6 -0.5298820E+00 -0.3956895E+02
     5      1 -0.1599305E+00 -0.3219117E+02
     5      2  0.1552033E-01 -0.1059389E-01
     5      3 -0.4442025E+00 -0.3966660E+02
     5      4 -0.7832833E-02 -0.2208906E-01
     5      5  0.5552101E+00 -0.5898204E+01
     5      6 -0.9542831E-02  0.2889754E-01
     6      1  0.1337170E-01  0.2520719E-02
     6      2 -0.1735612E+00 -0.3226835E+02
     6      3  0.7585387E-02 -0.7103643E-02
     6      4 -0.4442107E+00 -0.3967107E+02
     6      5 -0.2221679E-01  0.2026198E-02
     6      6  0.5477633E+00 -0.5881778E+01
