 %%% Date (yyyymmdd): 20130211
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.2639946E+00  0.3001749E+02
     1      2 -0.8458977E-01  0.1348682E+00
     1      3 -0.6810716E-01  0.1037512E+00
     1      4  0.2716056E-01 -0.5148003E-01
     2      1 -0.1055627E+00  0.1441987E+00
     2      2  0.2513248E+00  0.2984037E+02
     2      3 -0.5587418E-03 -0.1065023E-01
     2      4 -0.6775189E-01  0.1034142E+00
     3      1 -0.1553160E-01  0.3506181E-01
     3      2 -0.2168394E-02 -0.4878137E-03
     3      3  0.2501211E+00  0.2990534E+02
     3      4 -0.8360633E-01  0.1339051E+00
     4      1  0.5106982E-02 -0.8905920E-02
     4      2 -0.1539872E-01  0.3510486E-01
     4      3 -0.1046206E+00  0.1427286E+00
     4      4  0.2589022E+00  0.3002292E+02
