 %%% Date (yyyymmdd): 20130607
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.4789025E+00  0.1989417E+02
     1      2 -0.4913399E-01  0.3813924E-01
     1      3 -0.8983487E-01  0.1389726E+00
     1      4  0.3147672E-02  0.2619558E-01
     2      1 -0.1129035E+00  0.4811237E-01
     2      2  0.4733841E+00  0.1992074E+02
     2      3 -0.2894135E-01  0.4856063E-01
     2      4 -0.8976977E-01  0.1394169E+00
     3      1 -0.2120310E-01  0.2493877E-01
     3      2 -0.2209654E-01  0.1391385E-01
     3      3  0.4654551E+00  0.1989004E+02
     3      4 -0.5000452E-01  0.4028993E-01
     4      1 -0.2977255E-01  0.1710328E-01
     4      2 -0.2136988E-01  0.2509453E-01
     4      3 -0.1129258E+00  0.5066846E-01
     4      4  0.4725829E+00  0.1992969E+02
