 %%% Date (yyyymmdd): 20130920
 %%% Feeding        : coaxial cable
 %%% Frequency      :     48000000.00000000     
     1      1  0.7766205E+00  0.2013516E+02
     1      2 -0.2801473E+00 -0.5840526E-01
     1      3 -0.1082314E+00  0.1743848E+00
     1      4  0.1887093E-02  0.2603431E-01
     2      1 -0.3779735E+00  0.5631997E-01
     2      2  0.9566348E+00  0.2273449E+02
     2      3 -0.4406350E-01  0.6967212E-01
     2      4 -0.1084433E+00  0.1741451E+00
     3      1 -0.8557061E-01  0.2060269E-01
     3      2 -0.7359799E-01  0.1468036E-01
     3      3  0.9548979E+00  0.2227894E+02
     3      4 -0.2751399E+00 -0.4936246E-01
     4      1 -0.8626341E-01  0.3616559E-01
     4      2 -0.8569908E-01  0.2042433E-01
     4      3 -0.3741702E+00  0.6419864E-01
     4      4  0.7549128E+00  0.2010692E+02
