 %%% Date (yyyymmdd): 20140605
 %%% Feeding        : coaxial cable
 %%% Frequency      :    52500000.0000000     
     1      1  0.1841339E+01  0.3310635E+02
     1      2 -0.6615267E+00 -0.9556035E-01
     1      3 -0.2235936E+00  0.3920165E+00
     1      4 -0.1161231E-01  0.4217602E-01
     2      1 -0.8041995E+00  0.1796496E+00
     2      2  0.1878071E+01  0.3330614E+02
     2      3 -0.9147975E-01  0.1213457E+00
     2      4 -0.2240411E+00  0.3960827E+00
     3      1 -0.1718588E+00  0.5860919E-01
     3      2 -0.1691949E+00  0.2033809E-01
     3      3  0.1822649E+01  0.3329802E+02
     3      4 -0.6358454E+00 -0.8965350E-01
     4      1 -0.2227764E+00  0.1194535E+00
     4      2 -0.1712924E+00  0.5951780E-01
     4      3 -0.7724439E+00  0.1747978E+00
     4      4  0.1804399E+01  0.3317152E+02
