 %%% Date (yyyymmdd): 20140520
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.2047838E+01  0.3549932E+02
     1      2 -0.7444254E+00 -0.9763293E-01
     1      3 -0.2453278E+00  0.4383547E+00
     1      4 -0.1178336E-01  0.4714872E-01
     2      1 -0.9005190E+00  0.2112038E+00
     2      2  0.2088954E+01  0.3571660E+02
     2      3 -0.1017818E+00  0.1368226E+00
     2      4 -0.2463604E+00  0.4426496E+00
     3      1 -0.1912132E+00  0.6753112E-01
     3      2 -0.1886844E+00  0.2527961E-01
     3      3  0.2027576E+01  0.3570934E+02
     3      4 -0.7149443E+00 -0.9133087E-01
     4      1 -0.2464186E+00  0.1356908E+00
     4      2 -0.1906276E+00  0.6844071E-01
     4      3 -0.8651419E+00  0.2059847E+00
     4      4  0.2006967E+01  0.3557285E+02
