 %%% Date (yyyymmdd): 20140702
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.1555766E+01  0.3483790E+02
     1      2 -0.4193916E+00  0.4833832E+00
     1      3 -0.1847271E+00  0.4007586E+00
     1      4  0.1871084E-02  0.6656219E-01
     2      1 -0.4764249E+00  0.6231846E+00
     2      2  0.1580676E+01  0.3504771E+02
     2      3 -0.6078083E-01  0.1500341E+00
     2      4 -0.1851251E+00  0.4059469E+00
     3      1 -0.1288469E+00  0.1668674E+00
     3      2 -0.1028358E+00  0.1146500E+00
     3      3  0.1534782E+01  0.3507679E+02
     3      4 -0.3981232E+00  0.4648021E+00
     4      1 -0.7676757E-01  0.1403303E+00
     4      2 -0.1289345E+00  0.1674644E+00
     4      3 -0.4622322E+00  0.5986300E+00
     4      4  0.1524252E+01  0.3493766E+02
