 %%% Date (yyyymmdd): 20140629
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.3263344E+00  0.3648423E+02
     1      2 -0.4515016E-01  0.4019723E+00
     1      3 -0.1139729E+00  0.2982902E+00
     1      4  0.6214366E-02  0.3014937E-01
     2      1 -0.6472518E-01  0.4103279E+00
     2      2  0.3331474E+00  0.3670480E+02
     2      3 -0.3203486E-01  0.1050862E+00
     2      4 -0.1148659E+00  0.3032932E+00
     3      1 -0.4578203E-01  0.2116947E+00
     3      2 -0.3879946E-01  0.9447681E-01
     3      3  0.3233990E+00  0.3668374E+02
     3      4 -0.4467864E-01  0.3982122E+00
     4      1 -0.3026618E-01  0.5370433E-01
     4      2 -0.4674698E-01  0.2144068E+00
     4      3 -0.6223277E-01  0.4061422E+00
     4      4  0.3211980E+00  0.3655610E+02
