 %%% Date (yyyymmdd): 20140702
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.7861304E+00  0.3599954E+02
     1      2 -0.8154396E-01  0.4207173E+00
     1      3 -0.1748153E+00  0.3639922E+00
     1      4 -0.1810770E-02  0.4789379E-01
     2      1 -0.1320455E+00  0.4498013E+00
     2      2  0.7958814E+00  0.3621661E+02
     2      3 -0.4923702E-01  0.1275236E+00
     2      4 -0.1759980E+00  0.3676917E+00
     3      1 -0.6331031E-01  0.2041237E+00
     3      2 -0.4897899E-01  0.1066314E+00
     3      3  0.7769814E+00  0.3620788E+02
     3      4 -0.7509401E-01  0.4135815E+00
     4      1 -0.5059131E-01  0.7609711E-01
     4      2 -0.6343260E-01  0.2059459E+00
     4      3 -0.1235625E+00  0.4410710E+00
     4      4  0.7750344E+00  0.3607808E+02
