 %%% Date (yyyymmdd): 20140702
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.3669880E+00  0.3646228E+02
     1      2 -0.3409176E-01  0.4255131E+00
     1      3 -0.1196816E+00  0.2949222E+00
     1      4 -0.1138129E-01  0.1488277E-01
     2      1 -0.5061918E-01  0.4361574E+00
     2      2  0.3734775E+00  0.3668184E+02
     2      3 -0.4449443E-01  0.9281129E-01
     2      4 -0.1206069E+00  0.2980649E+00
     3      1 -0.6422374E-01  0.2036207E+00
     3      2 -0.4587693E-01  0.8160947E-01
     3      3  0.3655856E+00  0.3666349E+02
     3      4 -0.3088914E-01  0.4229924E+00
     4      1 -0.3366155E-01  0.3745930E-01
     4      2 -0.6454676E-01  0.2057877E+00
     4      3 -0.4688173E-01  0.4330824E+00
     4      4  0.3630068E+00  0.3653621E+02
