 %%% Date (yyyymmdd): 20130216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.9003272E-01 -0.8865275E+01
     1      2 -0.9502633E-02 -0.5234045E-02
     1      3  0.6115817E-01 -0.2766597E+02
     1      4  0.1876676E-01 -0.1157667E-01
     1      5 -0.1389047E+00 -0.3225784E+02
     1      6 -0.4760909E-02  0.1237158E-01
     2      1 -0.2681681E-01  0.1305584E-02
     2      2  0.9723266E-01 -0.8853984E+01
     2      3 -0.9534450E-03 -0.1061005E-01
     2      4  0.8240417E-01 -0.2761050E+02
     2      5  0.2553656E-01  0.7644707E-02
     2      6 -0.1603931E+00 -0.3232724E+02
     3      1  0.1320240E+00 -0.2779706E+02
     3      2 -0.4125731E-01  0.8172912E-02
     3      3  0.6221748E+00 -0.7630623E+01
     3      4 -0.6940506E-01 -0.1370092E-01
     3      5 -0.6859340E+00 -0.3943833E+02
     3      6  0.9990453E-01  0.3289335E-02
     4      1 -0.2252989E-01 -0.3673380E-02
     4      2  0.1543088E+00 -0.2774298E+02
     4      3 -0.9768646E-01 -0.2874386E-01
     4      4  0.6285886E+00 -0.7646855E+01
     4      5  0.1112579E+00  0.2791660E-01
     4      6 -0.6848963E+00 -0.3944396E+02
     5      1 -0.1976807E+00 -0.3214819E+02
     5      2  0.4428543E-01 -0.3234383E-02
     5      3 -0.6126178E+00 -0.3957128E+02
     5      4  0.4281656E-01  0.2394283E-01
     5      5  0.7411285E+00 -0.6025516E+01
     5      6 -0.8183838E-01 -0.1608895E-01
     6      1  0.4115009E-01  0.2571451E-02
     6      2 -0.2168355E+00 -0.3222224E+02
     6      3  0.8291543E-01  0.3507066E-01
     6      4 -0.6123951E+00 -0.3957562E+02
     6      5 -0.1165037E+00 -0.3282138E-01
     6      6  0.7310597E+00 -0.6007854E+01
