 %%% Date (yyyymmdd): 20130211
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.3852438E+00  0.2996169E+02
     1      2 -0.1378303E+00  0.1494160E+00
     1      3 -0.7573172E-01  0.1179412E+00
     1      4  0.2528811E-01 -0.6091028E-01
     2      1 -0.1672592E+00  0.1732214E+00
     2      2  0.3672612E+00  0.2978925E+02
     2      3 -0.2766725E-02 -0.1168679E-01
     2      4 -0.7548437E-01  0.1175703E+00
     3      1 -0.3153172E-01  0.3198435E-01
     3      2 -0.4243707E-03 -0.2399658E-02
     3      3  0.3652779E+00  0.2985469E+02
     3      4 -0.1360240E+00  0.1481669E+00
     4      1  0.1272516E-01 -0.9190522E-02
     4      2 -0.3126762E-01  0.3200020E-01
     4      3 -0.1657470E+00  0.1716185E+00
     4      4  0.3779782E+00  0.2996859E+02
