 %%% Date (yyyymmdd): 20130919
 %%% Feeding        : coaxial cable
 %%% Frequency      :     48000000.00000000     
     1      1  0.5458580E+00  0.2024561E+02
     1      2 -0.1007399E+00  0.2303089E-01
     1      3 -0.1019302E+00  0.1652810E+00
     1      4  0.2617880E-02  0.2793729E-01
     2      1 -0.1799885E+00  0.5032186E-01
     2      2  0.6677958E+00  0.2287432E+02
     2      3 -0.3655653E-01  0.6255253E-01
     2      4 -0.1032107E+00  0.1670510E+00
     3      1 -0.3652366E-01  0.2542453E-01
     3      2 -0.3738381E-01  0.1736700E-01
     3      3  0.6650287E+00  0.2241947E+02
     3      4 -0.1015674E+00  0.2946996E-01
     4      1 -0.4080281E-01  0.2084899E-01
     4      2 -0.3729375E-01  0.2494104E-01
     4      3 -0.1806798E+00  0.5579363E-01
     4      4  0.5337778E+00  0.2021348E+02
