 %%% Date (yyyymmdd): 20140216
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1451234E+01  0.2910997E+02
     1      2 -0.4088336E+00 -0.1491877E+00
     1      3 -0.1893186E+00  0.3275143E+00
     1      4 -0.9643606E-02  0.3592913E-01
     2      1 -0.5734758E+00  0.3613665E-01
     2      2  0.1448763E+01  0.2912056E+02
     2      3 -0.8130765E-01  0.1007121E+00
     2      4 -0.1908062E+00  0.3336023E+00
     3      1 -0.1396371E+00  0.2990190E-01
     3      2 -0.1217910E+00  0.1167620E-01
     3      3  0.1439981E+01  0.2906985E+02
     3      4 -0.4205464E+00 -0.1402959E+00
     4      1 -0.1718251E+00  0.6848459E-01
     4      2 -0.1408292E+00  0.3042801E-01
     4      3 -0.5816508E+00  0.3266009E-01
     4      4  0.1496750E+01  0.2939874E+02
