 %%% Date (yyyymmdd): 20140531
 %%% Feeding        : coaxial cable
 %%% Frequency      :    50000000.0000000     
     1      1  0.1792918E+01  0.3071226E+02
     1      2 -0.7093303E+00 -0.3601163E-01
     1      3 -0.1702461E+00  0.3677941E+00
     1      4 -0.1128165E-01  0.1255298E-01
     2      1 -0.7976768E+00  0.2346225E+00
     2      2  0.1815267E+01  0.3089403E+02
     2      3 -0.8384496E-01  0.1528857E+00
     2      4 -0.1732377E+00  0.3524472E+00
     3      1 -0.1577195E+00  0.3477857E-01
     3      2 -0.2058082E+00  0.4265419E-01
     3      3  0.1841861E+01  0.3093067E+02
     3      4 -0.6753454E+00 -0.1179721E+00
     4      1 -0.2159653E+00  0.1690604E+00
     4      2 -0.1652872E+00  0.3277320E-01
     4      3 -0.7928299E+00  0.2554040E+00
     4      4  0.1789345E+01  0.3078641E+02
