 %%% Date (yyyymmdd): 20140605
 %%% Feeding        : coaxial cable
 %%% Frequency      :    52500000.0000000     
     1      1  0.1342909E+01  0.3341367E+02
     1      2 -0.2890655E+00 -0.2878868E-01
     1      3 -0.2164292E+00  0.3722471E+00
     1      4  0.2591820E-02  0.3763166E-01
     2      1 -0.4569219E+00  0.7603059E-01
     2      2  0.1364345E+01  0.3362600E+02
     2      3 -0.7442299E-01  0.1093522E+00
     2      4 -0.2176537E+00  0.3754142E+00
     3      1 -0.1002125E+00  0.5326846E-01
     3      2 -0.8960086E-01  0.3065266E-01
     3      3  0.1331073E+01  0.3361257E+02
     3      4 -0.2748792E+00 -0.2740950E-01
     4      1 -0.1131587E+00  0.5560882E-01
     4      2 -0.1004712E+00  0.5406323E-01
     4      3 -0.4376795E+00  0.7405339E-01
     4      4  0.1323315E+01  0.3347946E+02
