 %%% Date (yyyymmdd): 20140617
 %%% Feeding        : coaxial cable
 %%% Frequency      :    70000000.0000000     
     1      1  0.4466440E+01  0.5414407E+02
     1      2 -0.1915358E+01  0.1070417E+00
     1      3 -0.4622288E+00  0.1006069E+01
     1      4  0.6996923E-01  0.6721073E-01
     2      1 -0.2127290E+01  0.8619746E+00
     2      2  0.4558358E+01  0.5449697E+02
     2      3 -0.3115823E+00  0.2989151E+00
     2      4 -0.4258972E+00  0.1004410E+01
     3      1 -0.3841153E+00  0.1162054E+00
     3      2 -0.5204429E+00  0.1736193E+00
     3      3  0.4682521E+01  0.5460170E+02
     3      4 -0.1848016E+01 -0.1640683E+00
     4      1 -0.4842144E+00  0.4902431E+00
     4      2 -0.4107868E+00  0.1131261E+00
     4      3 -0.2136357E+01  0.9674445E+00
     4      4  0.4544154E+01  0.5432236E+02
