 %%% Date (yyyymmdd): 20140702
 %%% Feeding        : coaxial cable
 %%% Frequency      :    55000000.0000000     
     1      1  0.8235504E+00  0.3578022E+02
     1      2 -0.1141744E+00  0.3506040E+00
     1      3 -0.1884121E+00  0.3540183E+00
     1      4 -0.3381730E-03  0.4966265E-01
     2      1 -0.1717374E+00  0.3795251E+00
     2      2  0.8330867E+00  0.3599607E+02
     2      3 -0.5810085E-01  0.1159865E+00
     2      4 -0.1897420E+00  0.3573196E+00
     3      1 -0.3271645E-01  0.1659634E+00
     3      2 -0.3502998E-01  0.7356922E-01
     3      3  0.8131325E+00  0.3599309E+02
     3      4 -0.1059057E+00  0.3434634E+00
     4      1 -0.3783552E-01  0.5855327E-01
     4      2 -0.3248078E-01  0.1675329E+00
     4      3 -0.1643399E+00  0.3707747E+00
     4      4  0.8119769E+00  0.3586483E+02
