 %%% Date (yyyymmdd): 20130218
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.1301212E+00 -0.8887449E+01
     1      2 -0.3759037E-01 -0.2468775E-01
     1      3  0.1145649E+00 -0.2766172E+02
     1      4  0.2353182E-01 -0.4009519E-01
     1      5 -0.2214634E+00 -0.3224078E+02
     1      6  0.1604791E-01  0.5108138E-01
     2      1 -0.6177747E-01  0.2083859E-02
     2      2  0.1403041E+00 -0.8877606E+01
     2      3 -0.1913385E-01 -0.4859914E-01
     2      4  0.1444593E+00 -0.2761058E+02
     2      5  0.7151213E-01  0.4046817E-01
     2      6 -0.2502631E+00 -0.3230505E+02
     3      1  0.1532089E+00 -0.2783381E+02
     3      2 -0.7552586E-01  0.1553779E-01
     3      3  0.8718021E+00 -0.7744494E+01
     3      4 -0.1820303E+00 -0.8904442E-01
     3      5 -0.9296429E+00 -0.3929941E+02
     3      6  0.2300974E+00  0.5892078E-01
     4      1 -0.4143595E-01  0.1020850E-01
     4      2  0.1842133E+00 -0.2778464E+02
     4      3 -0.2364815E+00 -0.8095091E-01
     4      4  0.8810152E+00 -0.7761302E+01
     4      5  0.2524868E+00  0.5802547E-01
     4      6 -0.9283339E+00 -0.3930524E+02
     5      1 -0.2529147E+00 -0.3209741E+02
     5      2  0.9740606E-01  0.7997592E-02
     5      3 -0.8876306E+00 -0.3947578E+02
     5      4  0.1380398E+00  0.1203476E+00
     5      5  0.1038986E+01 -0.6161851E+01
     5      6 -0.2152465E+00 -0.1052964E+00
     6      1  0.8740020E-01 -0.6049324E-02
     6      2 -0.2809335E+00 -0.3216780E+02
     6      3  0.2200129E+00  0.1173191E+00
     6      4 -0.8867499E+00 -0.3947985E+02
     6      5 -0.2812806E+00 -0.9329502E-01
     6      6  0.1024172E+01 -0.6143230E+01
