 %%% Date (yyyymmdd): 20130225
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.3393437E+00  0.2991808E+02
     1      2 -0.3899844E-01  0.2682213E-01
     1      3 -0.9187578E-01  0.1500459E+00
     1      4  0.1571723E-01  0.5624971E-02
     2      1 -0.8272437E-01  0.3465002E-01
     2      2  0.3291672E+00  0.2973620E+02
     2      3 -0.1325167E-01  0.3295273E-01
     2      4 -0.9135407E-01  0.1496782E+00
     3      1 -0.1533951E-01  0.4587764E-01
     3      2 -0.1744686E-01  0.1415442E-01
     3      3  0.3274644E+00  0.2981570E+02
     3      4 -0.3871398E-01  0.2756189E-01
     4      1 -0.1844082E-01  0.1084656E-01
     4      2 -0.1533293E-01  0.4576358E-01
     4      3 -0.8268454E-01  0.3503899E-01
     4      4  0.3335556E+00  0.2993439E+02
