 %%% Date (yyyymmdd): 20130607
 %%% Feeding        : coaxial cable
 %%% Frequency      :    48000000.0000000     
     1      1  0.5380788E+00  0.1985187E+02
     1      2 -0.8913315E-01  0.1871120E-01
     1      3 -0.8991329E-01  0.1432433E+00
     1      4  0.3797793E-02  0.2518282E-01
     2      1 -0.1620545E+00  0.4555872E-01
     2      2  0.5330514E+00  0.1987957E+02
     2      3 -0.3031548E-01  0.4947391E-01
     2      4 -0.8983242E-01  0.1436231E+00
     3      1 -0.3096899E-01  0.2241364E-01
     3      2 -0.2860118E-01  0.1345872E-01
     3      3  0.5247767E+00  0.1984966E+02
     3      4 -0.8925276E-01  0.2147961E-01
     4      1 -0.3895211E-01  0.2026480E-01
     4      2 -0.3120059E-01  0.2256198E-01
     4      3 -0.1611534E+00  0.4831839E-01
     4      4  0.5306927E+00  0.1988799E+02
