 %%% Date (yyyymmdd): 20130918
 %%% Feeding        : coaxial cable
 %%% Frequency      :     48000000.00000000     
     1      1  0.4093522E+00  0.2035095E+02
     1      2 -0.1447605E-01  0.7420099E-01
     1      3 -0.1048457E+00  0.1539517E+00
     1      4  0.2033975E-02  0.3028969E-01
     2      1 -0.6255024E-01  0.6572413E-01
     2      2  0.4991929E+00  0.2300026E+02
     2      3 -0.3659317E-01  0.6284187E-01
     2      4 -0.1013650E+00  0.1542985E+00
     3      1 -0.1516856E-01  0.3152962E-01
     3      2 -0.1834043E-01  0.1923223E-01
     3      3  0.4950193E+00  0.2254515E+02
     3      4 -0.1386541E-01  0.7160675E-01
     4      1 -0.2205015E-01  0.1771443E-01
     4      2 -0.1522541E-01  0.3432600E-01
     4      3 -0.6646482E-01  0.6971789E-01
     4      4  0.3984799E+00  0.2031908E+02
