 %%% Date (yyyymmdd): 20140605
 %%% Feeding        : coaxial cable
 %%% Frequency      :    52500000.0000000     
     1      1  0.1207463E+01  0.3351721E+02
     1      2 -0.1876664E+00  0.1057144E-02
     1      3 -0.2174289E+00  0.3621001E+00
     1      4  0.5470329E-02  0.4074332E-01
     2      1 -0.3437735E+00  0.6087149E-01
     2      2  0.1222605E+01  0.3373088E+02
     2      3 -0.6910499E-01  0.1061349E+00
     2      4 -0.2179373E+00  0.3655190E+00
     3      1 -0.7242335E-01  0.5609359E-01
     3      2 -0.6921276E-01  0.2878395E-01
     3      3  0.1194105E+01  0.3371648E+02
     3      4 -0.1766059E+00  0.2033474E-02
     4      1 -0.8887900E-01  0.4129807E-01
     4      2 -0.7261216E-01  0.5672830E-01
     4      3 -0.3277707E+00  0.5963059E-01
     4      4  0.1191619E+01  0.3358317E+02
