 %%% Date (yyyymmdd): 20140614
 %%% Feeding        : coaxial cable
 %%% Frequency      :    60000000.0000000     
     1      1  0.1679690E+01  0.4140326E+02
     1      2 -0.2797772E+00  0.1379123E-01
     1      3 -0.2941166E+00  0.5053558E+00
     1      4  0.1159068E-01  0.5346269E-01
     2      1 -0.5000864E+00  0.1060577E+00
     2      2  0.1703155E+01  0.4168407E+02
     2      3 -0.9448477E-01  0.1479592E+00
     2      4 -0.2952599E+00  0.5100965E+00
     3      1 -0.1034728E+00  0.8183848E-01
     3      2 -0.9948491E-01  0.4373735E-01
     3      3  0.1664241E+01  0.4166472E+02
     3      4 -0.2632264E+00  0.1451741E-01
     4      1 -0.1256518E+00  0.6205656E-01
     4      2 -0.1036617E+00  0.8291971E-01
     4      3 -0.4768348E+00  0.1028667E+00
     4      4  0.1658578E+01  0.4149253E+02
